id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
226,9780451527448,451527445,The Haves and Have Nots: 30 Stories about Money and Class in America,English,Mass Market Paperback,1999-10-01,Reissue,528,4.27 (w) x 6.80 (h) x 1.14 (d),4.9,Penguin Group (USA),"Barbara H. Solomon (Editor), Various",2
227,9781557836960,1557836965,The Best American Short Plays 2003-2004,English,Paperback,2006-09-01,1st Edition,312,5.50 (w) x 8.40 (h) x 0.70 (d),2.6,Applause Theatre Book Publishers,Glenn Young,6
228,9780321093837,321093836,Latino Boom: An Anthology of U. S. Latino Literature,English,Paperback,2005-07-01,1st Edition,592,6.40 (w) x 9.10 (h) x 1.30 (d),2.5,Longman,John Christie,16
229,9781555837471,1555837476,Up All Night: Adventures in Lesbian Sex,English,Paperback,2004-01-01,,264,5.40 (w) x 8.50 (h) x 0.60 (d),4.1,Alyson Books,"Stacy Bias (Editor), Stacy M. Bias",4
230,9780195122718,195122712,Anthology of Modern American Poetry,English,Paperback,2000-01-01,1st Edition,1296,9.20 (w) x 6.00 (h) x 1.90 (d),2.5,"Oxford University Press, USA","Cary Nelson (Editor), Emory Elliott (Editor), A. Walton Litz",7
231,9780786869183,786869186,"A Patriot'S Handbook: Songs, Poems, Stories, And Speeches Celebrating The Land We Love",English,Hardcover,2003-05-01,1ST,688,6.12 (w) x 9.25 (h) x 0.00 (d),4.1,Hyperion,Caroline Kennedy,15
232,9780877970606,877970602,Uncle Remus: His Songs and His Sayings,English,Hardcover,1995-09-01,REPRINT,,,4.8,Cherokee Publishing Company,"Joel Chandler Harris, James H. Moser (Photographer), William B. Williford",1
233,9780618532988,618532986,The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865),English,Paperback,2004-12-01,5th Edition,1760,6.10 (w) x 9.20 (h) x 1.40 (d),4.0,Cengage Learning,"Paul Lauter, Richard Yarborough, Jackson Bryer, Charles Molesworth, King-Kok Cheung",7
234,9780791419045,791419045,Immigrant Women,English,Paperback,1994-07-01,2nd Edition,,,2.3,State University of New York Press,Maxine Schwartz Seller,2
235,9781572331327,1572331321,The American Aeneas: Classical Origins of the American Self,English,Hardcover,2001-10-01,1 ED,480,6.38 (w) x 9.22 (h) x 1.24 (d),3.8,University of Tennessee Press,John C. Shields,11
236,9781555839970,1555839975,"Love, Castro Street: Reflections of San Francisco",English,Paperback,2007-05-01,,288,6.00 (w) x 9.00 (h) x 0.70 (d),4.5,Alyson Books,"Katherine V. Forrest (Editor), Jim Van Buskirk",5
237,9781575252711,1575252716,"The Women's Project and Productions: The Best One-Act Plays, 1975-1999",English,Paperback,2002-06-01,,309,,2.7,"Smith & Kraus, Inc.",Julia Miles,5
238,9780814727478,814727476,Feeling Italian: The Art of Ethnicity in America,English,Paperback,2005-05-01,New Edition,408,0.62 (w) x 6.00 (h) x 9.00 (d),3.9,New York University Press,Thomas Ferraro,3
239,9780415924443,415924448,"Pamphlets of Protest: An Anthology of Early African American Protest Literature, 1790-1860",English,Paperback,2000-10-01,,320,7.00 (w) x 10.00 (h) x 0.70 (d),4.8,"Taylor & Francis, Inc.","Richard G. Newman (Editor), Phillip Lapsansky (Editor), Patrick Rael",4
240,9780374525217,374525218,A Whole Other Ball Game: Women's Literature on Women's Sport,English,Paperback,1997-09-01,1 ED,288,5.50 (w) x 8.50 (h) x 0.75 (d),2.4,"Farrar, Straus and Giroux",Joli Sandoz,4
